Lambda	Ref_ID	Obs_abd	ref_abd	E	pval	Total_corrected	Corrected
0.215984122781488	Root149	9	10000	2159.84122781488	1	8830	Yes
0.0419758780074828	Root149	9	10000	419.758780074828	1	8830	Yes
0.00272207845870335	Root149	9	10000	27.2207845870335	0.999984340918321	8830	Yes
0.00272207845870335	Root149	9	10000	27.2207845870335	0.999984340918321	8830	Yes
0.00571117278434655	Root149	9	10000	57.1117278434655	0.999999999999999	8830	Yes
0.00199816329134657	Root149	9	10000	19.9816329134657	0.997888571610321	8830	Yes
0.00221940363344474	Root149	9	10000	22.1940363344474	0.999492391128099	8830	Yes
0.00245947295895808	Root149	9	10000	24.5947295895808	0.999900002237628	8830	Yes
0.00221940363344474	Root149	9	10000	22.1940363344474	0.999492391128099	8830	Yes
0.00162228744183151	Root149	8	10000	16.2228744183151	0.99125545269355	8830	Yes
0.00188499072355422	Root149	8	10000	18.8499072355422	0.998330225984776	8830	Yes
0.00188499072355422	Root149	8	10000	18.8499072355422	0.998330225984776	8830	Yes
0.000782937213859701	Root149	8	10000	7.82937213859701	0.522979006590016	8830	Yes
0.00188499072355422	Root149	8	10000	18.8499072355422	0.998330225984776	8830	Yes
1.19878601215105e-112	Root149	8	10000	1.19878601215105e-108	0	8830	No
0.352592453910725	Root149	8	10000	3525.92453910725	1	8830	Yes
0.00162228744183151	Root149	8	10000	16.2228744183151	0.99125545269355	8830	Yes
0.0017311205184861	Root149	8	10000	17.311205184861	0.995525160185574	8830	Yes
0.00161915532750569	Root149	8	10000	16.1915532750569	0.991088471591819	8830	Yes
0.00242582545187418	Root149	8	10000	24.2582545187418	0.999960606990972	8830	Yes
0.00213650556555151	Root149	8	10000	21.3650556555151	0.999693175028095	8830	Yes
0.0017204703995504	Root149	8	10000	17.204703995504	0.995216924856624	8830	Yes
0.00242582545187418	Root149	8	10000	24.2582545187418	0.999960606990972	8830	Yes
0.000535360126683917	Root149	8	10000	5.35360126683917	0.172812621225713	8830	Yes
0.0017204703995504	Root149	8	10000	17.204703995504	0.995216924856624	8830	Yes
0.00618264837626047	Root149	8	10000	61.8264837626047	1	8830	Yes
0.00154828406285522	Root149	8	10000	15.4828406285522	0.986407332603481	8830	Yes
0.00332472390452054	Root149	8	10000	33.2472390452054	0.999999959317056	8830	Yes
0.00245947295895808	Root149	8	10000	24.5947295895808	0.99996916312358	8830	Yes
0.00199816329134657	Root149	8	10000	19.9816329134657	0.999211737731193	8830	Yes
0.00272207845870335	Root149	8	10000	27.2207845870335	0.999995608949691	8830	Yes
0.00199816329134657	Root149	8	10000	19.9816329134657	0.999211737731193	8830	Yes
0.00199816329134657	Root149	8	10000	19.9816329134657	0.999211737731193	8830	Yes
0.000701907292816021	Root149	8	10000	7.01907292816021	0.404128059208184	8830	Yes
0.0015754558488478	Root149	7	10000	15.754558488478	0.995298525885434	8830	Yes
0.00188499072355422	Root149	7	10000	18.8499072355422	0.999422479089347	8830	Yes
0.0017311205184861	Root149	7	10000	17.311205184861	0.998328654660344	8830	Yes
0.00111299889225921	Root149	7	10000	11.1299889225921	0.926572005057387	8830	Yes
0.0017204703995504	Root149	7	10000	17.204703995504	0.998203626843424	8830	Yes
0.000782937213859701	Root149	7	10000	7.82937213859701	0.665344553000996	8830	Yes
0.0017204703995504	Root149	7	10000	17.204703995504	0.998203626843424	8830	Yes
0.0015754558488478	Root149	7	10000	15.754558488478	0.995298525885434	8830	Yes
